timestamp,open,high,low,close,volume
2023-03-19 06:00:00,1777.33,1778.53,1761.29,1774.79,231007.352
2023-03-19 08:00:00,1774.79,1780.25,1768.03,1777.36,193885.132
2023-03-19 10:00:00,1777.36,1788.97,1765.18,1784.2,288145.275
2023-03-19 12:00:00,1784.2,1795.0,1772.55,1775.59,347570.939
2023-03-19 14:00:00,1775.59,1815.17,1774.68,1792.79,603102.294
2023-03-19 16:00:00,1792.78,1834.64,1791.0,1807.8,927131.721
2023-03-19 18:00:00,1807.8,1841.96,1804.04,1820.9,537095.371
2023-03-19 20:00:00,1820.9,1827.89,1786.58,1792.99,541328.435
2023-03-19 22:00:00,1792.99,1810.0,1772.87,1779.99,403457.403
2023-03-20 00:00:00,1779.98,1784.99,1760.3,1774.17,465649.338
2023-03-20 02:00:00,1774.18,1779.31,1740.14,1750.61,626963.734
2023-03-20 04:00:00,1750.6,1759.39,1734.2,1758.68,260307.703
2023-03-20 06:00:00,1758.68,1793.34,1752.07,1791.16,479673.875
2023-03-20 08:00:00,1791.16,1803.37,1770.0,1779.32,639489.36
2023-03-20 10:00:00,1779.32,1787.0,1765.31,1778.37,351083.546
2023-03-20 12:00:00,1778.37,1782.03,1751.11,1759.21,470010.249
2023-03-20 14:00:00,1759.2,1777.53,1758.3,1762.03,494816.317
2023-03-20 16:00:00,1762.02,1768.02,1745.0,1746.15,522125.154
2023-03-20 18:00:00,1746.15,1766.78,1740.03,1751.9,447656.523
2023-03-20 20:00:00,1751.92,1761.55,1748.18,1752.68,216582.785
2023-03-20 22:00:00,1752.68,1754.11,1722.1,1731.71,398691.861
2023-03-21 00:00:00,1731.71,1757.25,1727.95,1751.32,316530.162
2023-03-21 02:00:00,1751.31,1753.32,1742.18,1745.52,157179.7
2023-03-21 04:00:00,1745.52,1753.71,1735.13,1739.61,198707.898
2023-03-21 06:00:00,1739.61,1745.58,1716.0,1729.11,401986.324
2023-03-21 08:00:00,1729.11,1755.71,1723.8,1747.49,368870.367
2023-03-21 10:00:00,1747.48,1767.99,1746.1,1760.47,354254.694
2023-03-21 12:00:00,1760.47,1819.9,1757.39,1819.21,1263780.734
2023-03-21 14:00:00,1819.21,1836.0,1796.27,1811.51,882104.086
2023-03-21 16:00:00,1811.52,1825.99,1786.17,1789.15,772677.936
2023-03-21 18:00:00,1789.16,1798.4,1772.31,1789.85,511397.677
2023-03-21 20:00:00,1790.0,1803.35,1780.85,1792.49,222844.278
2023-03-21 22:00:00,1792.49,1805.0,1784.11,1800.14,169410.556
2023-03-22 00:00:00,1800.13,1801.53,1776.66,1793.39,248320.798
2023-03-22 02:00:00,1793.38,1806.86,1789.02,1798.54,211446.46
2023-03-22 04:00:00,1798.54,1807.13,1794.24,1802.93,160230.884
2023-03-22 06:00:00,1802.93,1803.5,1785.96,1791.73,170867.789
2023-03-22 08:00:00,1791.73,1793.3,1780.02,1785.64,252206.069
2023-03-22 10:00:00,1785.63,1793.61,1782.0,1784.53,193634.713
2023-03-22 12:00:00,1784.52,1805.0,1782.5,1796.5,393951.211
2023-03-22 14:00:00,1796.51,1819.4,1795.1,1805.26,814659.376
2023-03-22 16:00:00,1805.26,1809.0,1775.0,1786.22,650749.524
2023-03-22 18:00:00,1786.2,1810.6,1709.0,1716.12,2130293.506
2023-03-22 20:00:00,1716.11,1737.68,1710.0,1718.49,557943.601
2023-03-22 22:00:00,1718.48,1736.15,1712.5,1733.61,250132.385
2023-03-23 00:00:00,1733.61,1744.52,1728.5,1729.46,264390.215
2023-03-23 02:00:00,1729.46,1742.0,1728.61,1736.42,134262.978
2023-03-23 04:00:00,1736.43,1752.21,1729.09,1748.57,268765.052
2023-03-23 06:00:00,1748.57,1752.87,1744.0,1750.07,201908.717
2023-03-23 08:00:00,1750.07,1756.2,1747.01,1754.09,163838.715
2023-03-23 10:00:00,1754.09,1758.78,1744.1,1753.81,206722.855
2023-03-23 12:00:00,1753.81,1757.1,1740.01,1746.81,346834.971
2023-03-23 14:00:00,1746.82,1860.0,1743.6,1837.44,1784485.237
2023-03-23 16:00:00,1837.44,1841.4,1814.68,1826.33,653709.209
2023-03-23 18:00:00,1826.34,1829.83,1791.65,1820.01,711475.757
2023-03-23 20:00:00,1820.07,1820.4,1802.77,1813.94,242517.028
2023-03-23 22:00:00,1813.95,1820.96,1802.71,1813.27,219675.439
2023-03-24 00:00:00,1813.26,1818.17,1805.57,1814.31,157503.461
2023-03-24 02:00:00,1814.31,1817.91,1808.19,1811.38,116394.452
2023-03-24 04:00:00,1811.38,1814.4,1802.34,1810.94,150504.145
2023-03-24 06:00:00,1810.94,1817.12,1808.21,1814.66,116681.619
2023-03-24 08:00:00,1814.67,1816.16,1779.65,1786.15,524916.162
2023-03-24 10:00:00,1786.15,1789.35,1720.0,1744.38,659835.595
2023-03-24 12:00:00,1744.37,1785.98,1740.45,1766.08,783984.088
